0.191836734,B:min
1.617301587,B:min(*b3,2)
3.048684807,B:min(*b3,4)
4.471519274,B:min
5.204399092,B:min/b7
5.925464852,124
7.356054421,123
8.806825396,9
10.209115646,10
10.913378684,11
11.650612244,12
13.101950113,13
14.506575963,14
15.912675736,15
17.357664399,16
18.781972789,17
20.254897959,18
21.679297052,19
23.054580498,20
24.558526077,21
25.930748299,22
27.362925170,23
28.822993197,24
30.273786848,25
30.935895691,26
31.697868480,27
33.075124716,28
34.581655328,29
35.786349206,30
37.376825396,31
38.797687074,32
40.312063492,33
41.588344671,34
43.051451247,35
44.451904761,36
45.223197278,37
45.928526077,38
47.308956916,39
48.773083900,40
50.199138321,41
50.922834467,42
51.590680272,43
53.045464852,44
54.508231292,45
55.896371882,46
57.385351473,47
58.094580498,48
58.758752834,49
59.480181405,50
60.948208616,51
